Country,Life expectancy at birth(29),Obesity rate (%) (23),GDP(in USD)(1),Intentional Homicide Rate(4),Democracy index(7),Military expenditures(%GDP)(5),Human developement index(6),Tertiary education(>2years)(8),Meat Consumption kg/person(30),Total Fertility rate (births/woman) (21),Importance of Religion(9),Population Growth Rate UN[5] 2015–20(28),Economic Freedom Score(26),Cigarettes (22),Internet users Pct (24),Median download speed(Mbit/s)(2),Median ages in years combined,Pure Alcohol consumption(Litres)(3),Oil production April 2022(27)
Syria,72.7,27.8,,2.1,1.43,,0.577,,21.2,2.75,89%,0.2,,2291.7,29.3,,23.5,0.3,85742.0
North Korea,72.6,6.8,,,1.08,,,,10.8,1.81,,0.47,5.9,993.3,,,34.6,3.9,
Tonga,72.6,48.2,,1.0,,,0.745,,,3.24,,0.86,57.7,986.9,42.0,,24.1,1.5,
Iraq,72.4,30.4,,9.4,3.62,,0.686,,,3.5,84%,2.78,,1184.4,43.4,,21.2,0.4,4470506.0
Bolivia,72.1,20.2,,3.5,5.08,,0.692,,50.0,2.62,89%,1.47,42.3,291.6,40.1,,25.3,4.8,28460.0
Guatemala,72.0,21.2,,20.0,4.97,,0.627,,23.8,2.4,88%,1.94,62.6,111.8,66.7,,23.2,2.4,6188.0
Honduras,71.9,21.4,,38.2,5.36,,0.621,,24.7,2.36,,1.63,60.2,469.8,29.0,,24.4,4.0,
Egypt,71.8,32.0,,1.3,2.93,,0.731,,22.5,2.92,97%,1.87,52.5,1449.4,69.2,,24.1,0.4,567652.0
Suriname,71.5,26.4,,5.7,6.82,,0.73,,40.3,2.35,,0.87,48.1,511.7,45.0,,31.0,5.1,14000.0
Azerbaijan,71.4,19.9,,1.9,2.68,,0.745,,15.9,1.52,50%,0.98,65.4,1525.6,75.3,,32.6,0.8,666869.0
Indonesia,71.3,6.9,,0.6,6.3,0.7,0.705,11.0,8.3,2.17,99%,1.05,65.8,1675.5,78.8,,31.1,0.8,610532.0
Nepal,70.9,4.1,,2.3,5.22,,0.602,,10.0,2.03,93%,1.09,53.8,511.6,53.9,,25.3,2.0,
India,70.8,3.9,,2.9,6.61,2.4,0.633,,5.2,2.03,90%,1.1,55.2,89.3,62.6,,28.7,5.7,607890.0
Samoa,70.5,47.3,,6.2,,,0.707,,82.6,3.93,,0.65,62.2,1470.6,30.2,,25.6,2.5,
Philippines,70.4,6.4,,4.3,6.56,,0.699,,31.1,2.75,96%,1.51,63.8,1132.2,64.1,,24.1,6.6,925.0
Sao Tome and Principe,70.4,12.4,,,,,0.618,,9.6,3.82,,2.18,54.0,,27.4,,19.3,,
Cambodia,70.1,3.9,,1.8,3.1,,0.593,,13.9,2.34,96%,1.49,57.8,726.2,32.8,,26.4,6.7,
Turkmenistan,69.7,18.6,,1.1,1.72,,0.745,,41.7,2.67,80%,1.61,48.4,962.1,19.3,,29.2,5.4,195109.0
Timor-Leste,69.6,3.8,,,,,,,41.3,3.15,,2.14,44.2,,27.0,,19.6,,14000.0
Tajikistan,69.5,14.2,,0.9,1.94,,0.685,,8.7,3.19,85%,2.06,55.6,361.1,20.1,,25.3,3.3,316.0
Myanmar,69.1,5.8,,28.4,3.04,,0.585,,10.7,2.15,,0.9,53.6,226.5,44.0,,29.2,4.8,7400.0
Rwanda,69.1,5.8,,3.6,3.1,,0.534,,4.4,3.82,95%,2.36,71.1,94.0,19.7,,19.7,9.0,
Sudan,69.1,6.6,,,2.54,,0.508,,21.0,4.46,93%,2.38,47.7,339.9,27.4,,18.3,0.5,64880.0
Ethiopia,68.7,4.5,,8.6,3.38,,0.498,,7.9,4.16,,2.43,53.6,115.3,16.2,,19.8,2.8,
Senegal,68.6,8.8,,0.3,5.67,,0.511,,17.7,4.39,96%,2.77,56.3,359.4,27.8,,19.4,0.7,
Laos,68.5,5.3,,,1.77,,0.607,,15.0,2.5,,1.45,57.4,814.6,23.6,,24.0,10.4,
Mauritania,68.4,12.7,,1.0,3.92,,0.556,,29.9,4.4,98%,2.69,55.7,30.3,19.9,,21.0,0.0,
Mongolia,68.1,20.6,,6.2,6.48,,0.739,,108.8,2.84,,1.5,55.4,1982.5,21.8,,29.8,7.4,15888.0
Fiji,68.0,30.2,,2.2,5.72,,0.73,,39.1,2.48,,0.72,62.2,491.1,48.9,,29.9,3.0,
Comoros,67.4,7.8,,,3.09,,0.558,,7.6,3.98,97%,2.24,55.4,585.4,8.4,,20.9,0.9,
Tanzania,67.3,8.4,,3.7,5.1,,0.549,,10.0,4.73,89%,3.06,60.2,181.8,52.0,,18.2,9.4,
Uganda,66.7,5.3,,8.5,4.94,,0.525,,11.7,4.58,93%,3.23,59.7,195.7,22.2,,15.7,9.5,
Yemen,66.6,17.1,,6.3,1.95,,0.455,,14.7,3.79,99%,2.33,,423.8,22.9,,,0.1,48565.0
Gabon,66.5,15.0,,,3.54,,0.706,,46.0,3.49,,2.17,56.3,451.2,44.4,,21.0,11.5,195808.0
Ghana,66.3,10.9,,1.8,6.5,,0.632,,9.9,3.56,95%,2.16,57.5,40.5,45.9,,21.4,2.7,179890.0
Kenya,66.1,7.1,,5.3,5.05,,0.575,,14.3,3.33,94%,2.49,55.1,264.4,16.7,,20.0,3.4,
Djibouti,65.8,13.5,,,2.71,,0.509,,17.1,2.8,96%,1.51,47.1,785.5,48.2,,24.9,0.5,
Guyana,65.7,20.2,,16.3,6.01,,0.714,,31.8,2.4,,0.57,56.8,359.1,36.1,,27.5,6.3,275545.0
Malawi,65.6,5.8,,1.8,5.74,,0.512,,5.1,3.92,99%,2.87,51.4,241.1,12.9,,16.8,3.7,
Pakistan,65.6,8.6,,4.0,4.31,2.6,0.544,,12.3,3.47,92%,1.91,55.0,363.2,60.8,,22.0,0.3,83000.0
Gambia,65.5,10.3,,,4.49,,0.5,,5.2,4.68,,2.93,52.4,249.1,15.8,,21.8,3.8,
Vanuatu,65.3,25.2,,0.3,,,0.607,,32.6,3.73,,2.1,56.4,1069.2,22.3,,23.0,1.0,
Madagascar,65.3,5.3,,,5.7,,0.501,,17.6,3.85,,2.67,56.6,404.2,8.7,,20.3,1.9,
Papua New Guinea,65.3,21.3,,9.4,6.1,,0.558,,73.0,3.21,,2.01,58.4,1689.3,9.3,,24.0,1.2,35917.0
South Africa,65.3,28.3,,41.9,7.05,,0.713,14.0,39.0,2.37,85%,1.2,58.3,509.6,53.6,,28.0,9.3,950.0
Solomon Islands,65.2,22.5,,3.7,,,0.564,,9.7,3.98,,1.94,54.6,1419.1,10.3,,23.5,1.4,
Republic of the Congo,64.7,9.6,,,3.11,,0.571,,13.3,4.17,,2.59,39.7,195.2,7.8,,19.5,,272928.0
Namibia,64.6,17.2,,12.4,6.52,,0.615,,34.0,3.3,,2.12,58.7,298.4,36.9,,21.8,9.8,
Togo,64.3,8.4,,,2.8,,0.539,,8.5,4.26,,2.45,50.3,147.3,11.1,,20.0,3.1,
Haiti,64.1,22.7,,13.0,4.22,,0.535,,15.3,2.81,,1.2,52.7,143.0,11.8,,24.1,5.8,
Eritrea,64.1,5.0,,14.6,2.15,,0.492,,7.7,3.87,,2.28,38.9,132.3,1.8,,20.3,1.3,
Liberia,64.1,9.9,,3.1,5.32,,0.481,,7.9,4.09,,2.52,49.7,154.4,7.3,,18.0,5.8,
Burundi,63.8,5.4,,5.8,2.14,,0.426,,3.5,5.08,98%,3.15,48.9,239.4,4.8,,17.7,7.5,
Benin,63.4,9.6,,,4.58,,0.525,,16.2,4.97,,2.73,55.3,204.0,12.1,,17.0,3.0,
Niger,63.3,5.5,,4.4,3.29,,0.4,,11.2,6.82,99%,3.81,51.6,118.8,8.7,,14.8,0.5,8000.0
Afghanistan,63.2,5.5,,4.0,2.85,,0.478,,,4.64,97%,2.41,51.5,311.6,10.1,,19.5,0.2,
Angola,63.1,8.2,,4.1,3.66,,0.586,,25.0,5.3,,3.28,50.6,340.2,12.4,,15.9,6.4,1165993.0
Federated States of Micronesia,63.0,45.8,,,,,,,,,,,,,,,26.3,,
Ivory Coast,62.9,10.3,,,4.11,,0.55,,11.3,4.42,,2.49,62.4,352.7,38.8,,20.3,8.4,30298.0
Mali,62.8,8.6,,,3.93,,0.428,,19.0,5.96,95%,2.99,58.1,316.9,10.8,,16.1,1.3,
South Sudan,62.8,6.6,,14.1,,,0.385,,,4.47,,2.72,,383.7,9.3,,18.6,,155110.0
Burkina Faso,62.7,5.6,,,3.73,,0.449,,11.2,4.77,,2.87,59.4,408.1,13.8,,17.9,8.2,
Nigeria,62.6,8.9,,21.7,4.1,,0.535,,8.6,5.24,96%,2.58,57.3,162.5,63.8,,18.6,13.4,1316415.0
Zambia,62.5,8.1,,5.2,4.86,,0.565,,11.9,4.31,95%,2.97,53.6,145.4,24.4,,16.9,4.8,
Cameroon,62.4,11.4,,4.5,2.77,,0.576,,14.4,4.46,96%,2.56,52.4,171.0,20.5,,18.5,8.9,59743.0
Democratic Republic of the Congo,62.4,6.7,,,1.13,,0.479,,4.8,6.16,94%,3.22,50.3,128.0,7.3,,16.7,,21000.0
Equatorial Guinea,62.2,8.0,,,1.92,,0.596,,,4.27,,3.59,41.0,328.2,20.4,,20.3,11.3,118384.0
Botswana,62.2,18.9,,10.5,7.62,,0.693,,27.3,2.79,,1.79,69.5,433.5,36.7,,25.7,8.4,
Guinea,61.0,7.7,,,3.08,,0.465,,6.5,4.4,,2.57,55.7,316.0,10.7,,19.1,1.3,
Sierra Leone,60.8,8.7,,2.1,4.86,,0.477,,6.1,3.98,,2.12,47.5,468.6,11.9,,19.1,5.7,
Zimbabwe,60.7,15.5,,6.1,3.16,,0.593,,15.2,3.49,88%,2.28,40.4,122.9,28.0,,20.5,4.8,
Guinea-Bissau,60.2,9.5,,1.1,2.63,,0.483,,13.0,4.0,,2.44,54.0,25.3,3.5,,18.0,4.8,
Chad,59.6,6.1,,,1.55,,0.394,,14.3,6.25,95%,3.01,49.9,279.3,5.6,,16.1,1.5,81329.0
Kiribati,59.4,46.0,,7.2,,,0.624,,32.1,3.3,,1.71,47.3,1396.0,13.2,,25.7,0.4,
Mozambique,58.1,7.2,,3.6,3.51,,0.446,,5.6,4.64,,2.86,48.6,501.9,19.2,,17.0,2.4,
Eswatini,57.7,16.5,,12.7,3.08,,0.597,,,2.84,,,54.7,,34.7,,,,
Somalia,56.5,8.3,,,,,,,,6.31,,2.93,,198.5,1.7,,18.5,0.0,
Central African Republic,53.1,7.5,,,1.32,,0.404,,28.0,5.98,,1.58,49.1,213.2,3.7,,20.0,3.3,
Lesotho,50.7,16.6,,37.7,6.3,,0.514,,15.4,3.02,,1.31,53.1,448.0,29.2,,24.7,5.0,
Nauru,,61.0,,,,,,,,,,-0.06,,,51.8,,27.0,6.0,
Cook Islands,,55.9,,3.5,,,,,,,,,,,,,38.3,10.6,
Palau,,55.3,,11.2,,,0.767,,,,,1.06,,,,,33.9,,
Marshall Islands,,52.9,,4.0,,,0.639,,,2.73,,0.1,,,48.9,,23.8,,
Tuvalu,,51.6,,0.0,,,0.641,,,3.16,,0.88,,,49.3,,26.6,1.7,
Niue,,50.0,,,,,,,,,,,,,53.4,,,7.0,
Dominica,,27.9,,13.8,,,0.72,,67.1,1.59,,0.51,63.6,147.4,71.1,,34.9,8.2,
Andorra,,25.6,42066,2.6,,,0.858,,,,,-0.21,,6398.3,96.3,191.23,46.2,11.3,
Saint Kitts and Nevis,,22.9,,29.4,,,0.777,,99.3,1.53,,0.91,,,93.8,,36.5,9.4,
Monaco,,,234317,0.0,,,,,,,,0.51,,,102.4,220.35,55.4,,
Liechtenstein,,,169260,5.1,,,0.935,,,1.53,,0.65,,,95.3,193.79,43.7,,
Bermuda,,,112653,10.9,,,,,,1.3,,,,,94.0,,43.6,,
Cayman Islands,,,85250,4.5,,,,,,,,,,,73.2,,40.5,,
United States,,,69185,6.8,7.92,3.5,0.921,51.1,,,65%,,,,,191.97,,9.8,
San Marino,,,50425,0.0,,,0.853,,,,,0.51,,,59.6,115.27,45.2,,
Greenland,,,58185,5.4,,,,,,1.8,,,,,69.8,,34.3,,
Macau,,,43555,0.4,,,,,,1.09,,,71.0,,90.2,170.3,40.8,,
Hong Kong,,,49259,0.3,5.57,,0.952,,,0.77,24%,,90.2,,93.0,265.17,45.6,,
British Virgin Islands,,,49444,8.2,,,,,,1.0,,,,,46.4,,37.2,,
European Union[n 1],,,31875,,,,,,,,,,,,,,,,
Puerto Rico,,,32716,17.0,,,,,,0.91,,,,,81.8,,43.6,,
New Caledonia,,,34994,3.1,,,,,76.6,2.02,,,,,78.7,,32.9,–,
Sint Maarten (Dutch part),,,26199,,,,,,,,,,,,,,,,
Aruba,,,29342,1.9,,,,,,1.18,,,,,96.0,,39.9,,
Taiwan,,,—,,8.94,1.6,,,,,,0.28,77.3,,91.9,163.85,42.3,,196.0
American Samoa,,,,0.0,,,,,24.9,,,,,,,,27.2,,
Anguilla,,,,28.3,,,,,,,,,,,76.4,,35.7,,
Curaçao,,,,17.1,,,,,,,,,,,,,,,
East Timor,,,,4.1,7.06,,0.607,,,,,,,,,,,2.1,
French Guiana,,,,13.3,,,,,13.2,,,,,,,,,,
French Polynesia,,,,0.4,,,,,112.2,1.7,,,,,67.7,,33.3,,
Gibraltar,,,,3.2,,,,,,1.85,,,,,99.5,,35.5,,
Guadeloupe,,,,5.8,,,,,12.7,,,,,,,,,,
Guam,,,,4.2,,,,,,2.57,,,,,77.5,,29.4,,
Holy See,,,,0.0,,,,,,,,,,,,,,,
Iraq. Central Iraq,,,,15.4,,,,,,,,,,,,,,,
Iraq (Kurdistan Region),,,,2.2,,,,,,,,,,,,,,,
Isle of Man,,,,0.0,,,,,,1.56,,,,,,,44.6,,
Kosovo,,,,2.0,,,,,,1.52,90%,,67.0,,,,30.5,,
Martinique,,,,2.8,,,,,,,,,,,,,,,
Mayotte,,,,5.8,,,,,,,,,,,,,,,
Micronesia,,,,0.9,,,0.628,,,2.71,,0.63,51.9,,7.0,,,2.5,
Montserrat,,,,0.0,,,,,,,,,,,64.1,,34.8,,
Northern Ireland,,,,1.1,,,,,,,,,,,,,,,
Palestine,,,,0.9,3.83,,0.715,,,3.5,,,,,62.5,,20.0,,
Réunion,,,,1.7,,,,,,,,,,,,,,,
Saint Helena,,,,0.0,,,,,,,,,,,,,,,
Saint Martin,,,,28.7,,,,,,2.42,,,,,,,33.3,,
Saint Pierre and Miquelon,,,,16.5,,,,,,,,,,,,,48.5,,
São Tomé and Príncipe,,,,3.2,,,,,,,,,,,,,,6.8,
Scotland,,,,1.1,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,5.7,,,,,,1.67,,,,,,,34.6,,
United Kingdom. England and Wales,,,,1.2,,,,,,,,,,,,,,,
United Kingdom. Great Britain and Northern Ireland,,,,1.0,,,,,,,,,,,,,,,
U.S. Virgin Islands,,,,49.6,,,,,,,,,,,,,,,
Poland[c],,,,,,2.4,,,,,,,,,,,,,
Netherlands Antilles,,,,,,,,,73.3,,,,,,,,,–,
Reunion,,,,,,,,,46.8,,,,,,,,,,
Swaziland,,,,,,,,,34.2,,,1.75,,91.7,,,23.7,,
Faroe Islands,,,,,,,,,,2.29,,,,,90.9,,37.2,,
US Virgin Islands,,,,,,,,,,2.01,,,,,67.5,,41.8,,
Sint Maarten,,,,,,,,,,1.58,,,,,,,41.1,,
Channel Islands,,,,,,,,,,1.46,,,,,,,,,
Guernsey,,,,,,,,,,1.46,,,,,,,44.3,,
Jersey,,,,,,,,,,1.46,,,,,35.5,,37.5,,
Curacao,,,,,,,,,,1.38,,,,,,,36.7,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,32.8,,
Vatican City,,,,,,,,,,,,0.08,,,,,,,
Western Sahara,,,,,,,,,,,,2.54,,,,,,,
Cote d'Ivoire,,,,,,,,,,,88%,,,,,,,,
State of Palestine,,,,,,,,,,,93%,,,,,,,,
Caribbean,,,,,,,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,,,,,,,
Falkland Islands,,,,,,,,,,,,,,,76.5,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,
Pitcairn Islands,,,,,,,,,,,,,,,,,,,
Saint Helena Ascension and Tristan da Cunha,,,,,,,,,,,,,,,53.8,,43.2,,
Svalbard,,,,,,,,,,,,,,,,,,,
Tokelau,,,,,,,,,,,,,,,,,,,
Wallis and Futuna,,,,,,,,,,,,,,,11.9,,34.0,,
Saint Barthelemy,,,,,,,,,,,,,,,,,45.6,,
Congo,,,,,,,,,,,,,,,,,,7.8,
DR Congo,,,,,,,,,,,,,,,,,,2.6,
Estonia[a],,,,,,,,,,,,,,,,,,11.6,
Eswatini[b],,,,,,,,,,,,,,,,,,9.9,
Macedonia,,,,,,,,,,,,,,,,,,8.1,
