Country,GDP(in USD)(1)
Monaco,234317
Liechtenstein,169260
Luxembourg,133745
Bermuda,112653
Ireland,101109
Switzerland,93525
Norway,89242
Cayman Islands,85250
Singapore,66822
Qatar,66799
United States,69185
Iceland,69133
Denmark,68037
Australia,66916
Netherlands,57871
San Marino,50425
Austria,53840
Greenland,58185
Sweden,60730
Finland,53703
Macau,43555
Belgium,51166
Canada,52112
Israel,54111
Germany,51073
Hong Kong,49259
United Arab Emirates,43295
British Virgin Islands,49444
United Kingdom,46542
New Zealand,48824
France,44229
Andorra,42066
European Union[n 1],31875
Malta,33642
Italy,35579
Puerto Rico,32716
New Caledonia,34994
Sint Maarten (Dutch part),26199
Aruba,29342
Cyprus,32281
Brunei,31449
Bahamas,27478
Japan,39650
South Korea,34940
Spain,30058
Saudi Arabia,23186
Slovenia,29135
Taiwan,â€”
Kuwait,32150
Estonia,27991
Czech Republic,26809
Lithuania,23844
Bahrain,26563
Portugal,24651
Latvia,21267