Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,,,,,,,,,,,,,,,,,,,,
Afghanistan *,7.8,7.9,7.7,7.6,7.6,7.4,7.3,7.1,6.9,6.6,6.4,6.2,6.1,6.0,5.9,5.8,5.8,5.5,5.6,5.7
Albania,2.9,3.0,3.0,3.2,3.1,5.2,5.7,5.7,5.8,5.8,5.9,8.2,3.2,3.2,2.9,2.8,2.7,2.5,2.4,2.2
Algeria,3.5,3.4,3.3,3.1,2.9,2.8,2.7,2.5,2.4,2.3,2.2,2.1,2.1,2.1,2.0,2.0,1.9,1.9,1.9,1.9
Angola,6.2,6.1,6.5,6.9,6.8,6.5,6.8,5.9,6.1,5.4,5.6,5.2,5.4,5.2,4.8,5.1,5.1,4.9,4.6,4.7
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.8,0.9,0.0,0.6,0.6
Argentina,3.4,4.0,4.2,3.8,3.5,3.5,3.3,3.2,3.3,3.2,3.1,3.3,3.4,3.1,3.7,3.2,3.1,3.6,3.6,3.3
Armenia,1.7,1.3,1.1,1.0,1.8,1.8,2.9,2.4,2.3,1.4,2.9,3.0,3.2,3.7,2.9,2.6,1.7,0.9,0.7,1.0
Australia *,5.0,4.9,4.6,4.3,3.9,4.4,4.5,4.8,4.6,4.8,4.9,5.0,5.7,5.3,5.8,6.0,5.6,5.9,5.4,5.6
Austria,7.9,7.2,6.5,7.0,6.1,6.3,5.3,5.5,5.4,5.2,5.5,5.8,4.8,5.5,5.6,5.4,5.7,4.6,4.8,4.6
Azerbaijan,1.3,1.5,1.6,1.7,1.9,2.0,2.0,2.1,2.0,1.9,1.9,1.8,1.8,1.6,1.6,1.6,1.5,1.5,1.5,1.5
Bahamas,1.1,1.1,0.9,0.9,1.3,1.3,1.4,1.3,1.2,1.2,1.3,1.3,1.2,1.1,1.0,1.1,1.1,1.0,1.2,1.2
Bahrain,2.5,3.1,3.4,3.8,3.8,3.8,3.4,3.5,3.4,3.2,3.0,2.9,2.6,2.5,2.5,2.4,2.3,2.3,2.3,2.3
Bangladesh *,3.5,3.3,3.3,3.1,3.0,3.0,3.0,2.8,2.7,2.6,2.5,2.3,2.2,2.0,1.8,1.8,1.7,1.6,1.7,1.7
Barbados,0.5,0.3,0.2,0.9,1.0,0.8,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.0,0.2,0.2,0.2,0.2,0.2,0.2
Belarus *,9.5,9.5,10.0,9.5,9.7,10.0,9.5,8.7,8.6,8.9,8.3,8.6,7.3,6.8,6.3,5.9,6.0,5.7,5.6,5.3
Belgium,10.1,9.4,9.3,9.2,8.8,8.8,9.2,8.2,8.8,9.3,9.2,9.8,8.7,8.8,8.8,8.3,8.5,8.6,8.5,8.4
Belize,2.9,2.5,2.6,2.4,2.5,2.1,2.1,1.9,1.7,2.0,2.1,2.1,1.9,1.8,1.7,1.6,1.5,1.7,1.7,1.8
Benin,7.5,7.5,7.5,7.4,7.4,7.3,7.2,7.0,6.6,6.8,6.8,6.8,6.7,6.6,6.5,6.4,6.3,6.3,6.2,6.1
Bhutan *,5.0,5.0,4.6,4.4,4.2,4.0,3.9,3.7,3.5,3.3,3.2,3.1,3.1,3.2,3.2,3.1,3.1,3.2,3.1,3.1
Bolivia,5.2,5.0,5.0,4.8,4.8,4.8,4.6,4.8,4.7,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4.7,4.5,4.3,4.2
Bosnia and Herzegovina,3.5,3.6,3.6,3.6,3.7,3.6,3.7,3.9,3.5,3.5,3.5,3.4,3.4,3.4,3.5,3.6,3.5,3.5,3.4,3.4
Botswana,20.6,20.2,19.2,18.5,18.6,20.1,18.5,17.8,16.5,12.2,10.5,10.9,10.4,10.0,10.7,10.3,9.6,9.2,8.9,7.8
Brazil,1.8,2.0,2.2,2.0,2.1,2.2,2.2,2.3,2.4,2.3,2.4,2.4,2.5,2.5,2.4,2.6,2.5,2.8,2.9,2.8
Brunei,0.4,0.2,0.3,0.3,0.6,0.9,1.1,1.4,1.1,1.1,0.6,0.0,1.2,1.5,1.5,0.6,0.7,1.0,1.0,0.8
Bulgaria,7.1,6.3,5.8,5.2,4.9,4.6,3.8,4.2,4.1,3.5,3.6,2.9,3.6,2.9,2.9,2.8,2.9,2.8,3.1,2.9
Burkina Faso,9.2,8.9,8.6,8.4,8.4,8.3,8.3,8.1,7.9,7.7,7.6,7.4,7.5,7.5,7.3,7.2,7.0,6.7,6.6,6.5
Burundi,13.6,13.0,12.6,12.0,11.5,11.2,10.8,10.0,9.3,9.0,8.7,8.4,7.9,7.7,7.4,7.1,6.9,6.6,6.4,6.4
Cape Verde,6.8,6.7,6.5,6.3,6.1,6.1,6.2,6.1,6.1,6.1,5.9,5.8,5.9,5.8,5.7,5.6,5.5,5.3,5.2,5.1
Cambodia,5.0,4.9,4.7,4.4,4.4,4.4,4.3,4.2,3.9,3.7,3.6,3.5,3.5,3.4,3.3,3.2,3.2,3.1,3.1,3.1
Cameroon *,9.7,9.8,9.7,9.7,9.5,10.2,10.3,9.8,9.7,9.6,9.4,9.2,8.7,9.1,8.8,8.3,7.9,7.6,7.5,7.6
Canada *,5.0,5.0,4.9,5.2,5.2,5.3,4.7,5.1,5.1,5.0,5.5,5.2,5.3,5.5,5.9,6.0,5.5,5.8,5.5,5.4
Central African Republic,14.6,13.7,13.7,13.0,12.4,11.9,12.3,11.9,11.6,12.4,12.3,12.0,11.2,10.9,10.4,10.4,9.6,9.6,9.5,9.3
Chad,7.7,7.7,7.8,7.9,7.5,7.6,7.5,7.8,7.8,7.9,8.0,8.1,8.0,7.9,7.6,7.3,7.2,7.3,7.1,6.9
Chile,2.9,2.9,2.9,2.9,3.0,3.2,3.2,4.0,4.6,4.8,4.2,4.0,3.6,3.4,3.3,3.9,3.3,3.0,3.0,3.0
China *,14.5,12.6,11.2,11.5,11.9,11.4,10.5,9.6,9.0,8.4,7.8,7.1,6.4,5.9,5.6,5.3,5.1,5.0,4.9,4.8
Colombia,2.6,2.5,2.3,2.5,2.2,2.0,1.9,1.8,1.8,1.7,1.5,1.5,1.5,1.5,1.4,1.8,1.6,1.8,1.7,1.7
Comoros,7.6,7.6,7.3,7.2,6.8,6.6,6.6,6.3,6.4,6.2,6.5,6.2,6.2,6.1,6.2,6.1,6.0,5.9,5.9,5.8
Congo,14.1,12.4,11.5,11.0,11.3,11.1,11.2,10.8,10.3,10.7,10.4,9.7,9.7,9.0,8.5,7.5,7.1,6.8,6.4,6.1
Costa Rica,1.6,1.5,2.0,2.5,2.3,1.9,2.7,1.9,1.6,1.7,1.9,2.3,1.9,1.7,1.8,2.2,2.2,2.2,2.1,1.9
Ivory Coast,8.4,7.9,7.6,7.4,7.0,6.7,7.3,7.3,6.7,7.3,7.7,6.9,6.7,6.6,6.1,5.8,5.5,5.2,5.0,5.0
Croatia,6.9,6.6,6.9,5.7,7.3,7.0,6.6,6.0,5.5,4.7,5.9,5.6,5.4,4.8,6.0,5.8,5.0,5.0,5.1,5.1
Cuba,8.9,7.5,7.3,5.9,5.9,5.7,4.2,4.0,4.7,4.9,4.8,4.5,4.2,4.2,4.2,4.1,3.8,4.4,4.1,4.1
Cyprus,1.2,1.2,1.2,1.2,0.4,1.2,2.0,1.4,2.7,1.2,1.9,0.8,0.7,1.1,2.6,1.8,1.1,0.9,1.4,1.1
Czech Republic,5.1,4.8,4.7,5.1,4.3,4.3,4.0,3.5,4.0,3.6,3.9,4.0,4.0,4.5,4.3,3.9,4.1,4.5,4.1,3.8
North Korea,8.9,8.6,8.4,8.1,7.8,7.6,7.5,7.5,7.6,7.5,7.5,7.5,7.3,7.3,7.2,7.3,7.1,6.7,6.3,6.3
DR Congo,5.7,5.8,5.7,5.9,6.0,6.0,6.0,5.9,5.8,5.9,5.8,5.7,5.5,5.3,5.3,5.1,5.0,4.9,5.0,5.0
Denmark,6.4,6.9,6.0,5.2,6.9,6.3,6.7,5.9,6.2,4.4,4.9,4.9,4.9,4.8,4.6,4.9,4.4,4.8,4.5,4.2
Djibouti,7.5,7.3,7.5,7.6,7.6,7.5,7.2,7.2,7.1,7.2,7.3,7.3,7.3,7.6,7.6,7.5,7.6,7.7,7.7,7.6
Dominican Republic,1.6,1.6,1.8,1.9,2.0,2.0,1.9,1.9,1.9,2.0,1.8,1.9,2.0,2.1,2.3,2.4,2.4,2.2,2.0,1.9
Ecuador,4.2,4.4,4.9,5.1,5.5,5.6,5.8,5.6,5.5,5.5,5.4,5.2,5.1,4.8,4.5,4.2,4.3,4.2,3.8,3.6
Egypt,2.7,2.7,2.7,2.7,2.6,2.5,2.5,2.4,2.4,2.4,2.5,2.3,2.5,2.3,2.3,2.4,2.3,2.2,2.2,2.2
El Salvador,3.4,3.8,3.2,3.3,2.7,2.7,2.1,2.5,2.6,2.4,2.1,2.7,2.6,2.3,2.6,2.1,2.2,2.2,2.1,2.1
Equatorial Guinea,7.8,7.4,7.0,7.2,7.2,7.3,8.2,8.3,8.8,9.6,9.7,9.1,8.7,8.3,8.9,10.0,9.6,8.6,8.5,8.8
Eritrea,9.6,9.4,9.4,8.8,9.0,9.3,9.6,9.5,9.9,9.8,9.6,9.4,9.3,9.1,8.9,8.9,8.7,8.6,8.5,8.3
Estonia,9.6,8.3,7.8,6.9,7.1,5.7,5.8,4.6,6.0,4.9,4.6,4.4,4.9,4.4,5.2,3.8,4.8,6.3,4.5,4.5
Eswatini,20.9,23.3,27.2,29.5,30.7,31.7,33.1,34.7,34.6,33.1,29.1,24.8,23.7,20.9,16.4,11.9,9.1,7.0,5.8,6.4
Ethiopia,11.2,10.8,10.5,10.2,9.9,9.6,9.2,8.9,8.7,8.2,7.6,7.1,6.3,5.7,5.5,5.5,5.3,5.3,5.2,5.2
Fiji,8.2,7.8,7.9,7.5,7.1,6.8,6.3,6.2,6.6,6.7,6.4,6.3,6.3,6.2,6.2,6.1,6.1,6.1,6.1,6.0
Finland *,10.4,9.0,9.0,8.6,8.6,9.1,8.4,8.0,8.5,9.4,7.8,7.1,7.3,7.7,6.7,5.4,6.1,8.0,7.2,6.8
France *,8.3,8.1,8.4,8.2,8.3,7.8,7.6,7.3,7.2,7.2,7.2,6.8,6.6,6.2,5.7,5.3,5.0,4.9,4.7,4.5
Gabon,7.5,7.2,6.6,6.6,6.1,6.1,7.0,6.4,6.6,5.7,5.6,5.3,4.2,4.0,4.9,4.8,4.4,4.1,4.0,3.8
Gambia,7.1,7.2,7.3,7.3,7.3,7.2,7.3,7.2,7.1,6.9,6.8,6.9,7.0,7.0,6.9,6.7,6.5,6.3,6.3,6.2
Georgia,2.2,2.2,2.8,2.4,2.4,2.0,1.8,1.9,2.2,2.7,2.1,2.2,2.1,2.3,2.6,2.6,2.6,2.3,2.3,2.2
Germany,5.3,5.2,5.4,5.2,4.8,4.7,4.5,4.2,4.3,4.2,4.5,4.3,4.6,4.6,4.5,4.7,4.3,3.9,4.0,3.9
Ghana,2.9,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.0,2.8,2.7,2.6,2.4,2.2,2.1,2.0,1.8,1.8
Greece *,1.2,0.7,0.9,1.0,0.9,1.2,1.0,0.8,0.9,0.8,0.6,1.3,1.4,1.6,1.7,1.5,1.3,1.5,1.5,1.5
Grenada,0.6,0.8,0.5,0.5,0.9,0.8,1.6,0.6,0.7,0.0,0.0,0.0,0.5,0.5,0.8,0.3,0.9,0.6,0.7,0.7
Guatemala,4.1,4.4,4.5,4.5,4.5,4.6,4.3,3.9,3.7,3.7,3.4,3.1,3.0,2.9,2.9,2.9,2.8,2.7,2.6,2.5
Guinea,6.7,6.7,6.9,6.9,7.0,7.0,7.4,7.7,7.7,7.9,8.2,8.4,8.4,8.6,8.3,8.5,8.4,8.3,8.0,8.0
Guinea-Bissau,8.8,8.6,8.5,8.3,8.2,8.0,7.9,8.0,8.1,8.0,7.9,7.8,7.5,7.6,7.4,7.2,7.1,7.0,6.8,6.7
Guyana *,14.5,15.5,14.6,16.8,16.0,15.1,15.8,15.8,15.3,19.5,15.8,14.8,15.9,17.1,13.6,15.9,16.1,16.3,16.7,17.0
Haiti,11.1,10.8,10.6,10.5,10.0,10.5,10.5,10.7,10.5,10.6,10.8,10.1,9.6,9.4,9.3,9.1,8.7,8.3,8.2,8.0
Honduras,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0
Hungary,11.0,9.4,9.1,8.3,8.8,8.1,8.4,7.5,7.7,7.9,7.6,7.7,7.5,7.0,6.3,6.5,6.1,5.3,5.3,5.5
Iceland,6.0,5.9,5.7,5.3,6.9,7.5,6.7,9.0,7.8,7.6,5.3,4.8,8.0,6.4,8.1,5.2,4.0,2.3,3.5,3.5
India *,17.4,16.9,15.9,14.8,14.2,14.2,14.0,13.4,13.1,12.8,13.2,13.1,12.5,12.1,11.3,11.1,10.8,10.7,11.1,11.1
Indonesia,2.1,2.0,2.0,1.9,1.8,1.7,1.7,1.6,1.6,1.5,1.5,1.5,1.4,1.3,1.3,1.2,1.2,1.2,1.2,1.2
Iran *,5.9,5.7,5.5,5.0,4.7,4.4,4.1,4.2,3.9,3.8,3.8,3.8,3.6,3.5,3.3,3.1,3.0,3.0,2.9,2.8
Iraq,3.4,3.4,3.4,3.2,3.1,3.1,3.0,2.9,2.9,3.1,3.2,3.2,3.2,3.1,3.0,2.9,2.8,2.7,2.5,2.4
Ireland,4.4,4.2,4.3,5.0,3.7,4.5,4.2,4.6,5.5,5.1,4.9,4.2,4.4,4.3,3.8,3.7,3.7,3.7,3.7,3.6
Israel,2.8,2.3,2.8,2.2,2.6,3.5,2.6,2.0,1.7,2.6,2.4,2.3,2.2,2.4,2.3,1.9,1.9,2.3,2.2,2.1
Italy,2.7,2.5,2.4,2.5,2.4,2.3,2.2,2.2,2.3,2.2,2.1,2.2,2.3,2.4,2.4,2.2,1.9,2.2,2.1,2.1
Jamaica,0.9,0.9,0.8,0.9,0.8,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0
Japan *,9.6,9.3,9.3,10.1,9.6,9.9,10.2,10.5,10.6,10.5,10.3,11.0,9.7,9.5,9.1,8.4,7.7,7.6,7.9,6.9
Jordan,2.4,2.3,2.2,2.2,2.1,1.9,1.7,1.4,1.2,1.1,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Kazakhstan *,11.4,11.5,11.8,12.0,11.9,11.8,11.7,11.7,11.5,10.4,10.1,9.7,9.3,9.0,8.5,8.2,7.9,7.8,7.3,6.9
Kenya,8.2,7.6,7.1,6.7,5.7,6.0,6.0,6.4,6.3,6.2,6.2,5.6,5.5,5.7,5.5,5.3,5.0,5.0,5.2,5.3
Kiribati,11.1,10.9,10.7,10.4,10.3,10.2,10.1,10.3,10.4,10.4,10.3,10.3,10.2,10.2,10.0,9.9,9.8,9.7,9.3,9.5
Kuwait,1.5,1.4,1.4,1.3,1.3,1.3,1.2,1.1,1.2,1.1,1.0,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.7,0.7
Kyrgyzstan,5.5,4.9,5.3,5.1,4.8,5.1,5.0,4.9,4.8,4.9,4.8,4.9,4.6,4.3,4.4,4.2,4.0,3.8,3.7,3.5
Laos,6.5,6.4,6.1,5.8,5.6,5.5,5.2,5.0,4.8,4.6,4.4,4.3,4.0,3.9,3.8,3.7,3.6,3.6,3.6,3.5
