Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Latvia,9.4,8.4,9.5,8.4,6.7,6.7,4.8,5.6,6.7,6.5,4.0,4.9,4.9,4.5,5.2,5.5,5.5,5.5,2.8,4.6
Lebanon *,2.4,2.3,2.2,2.2,2.1,2.0,1.9,2.0,1.9,1.9,1.9,1.9,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.7
Lesotho,16.0,15.4,15.9,17.9,18.0,17.2,22.1,22.4,30.7,30.8,30.7,34.9,40.7,44.2,46.3,45.9,41.9,35.8,34.6,34.6
Liberia,6.7,6.5,6.6,6.7,7.3,6.9,7.0,7.3,7.3,6.9,6.9,7.1,6.9,6.8,6.9,6.3,6.2,6.2,5.9,5.5
Libya,3.3,3.2,3.1,2.9,2.6,2.6,2.6,3.3,3.4,3.9,3.6,3.2,3.3,3.1,3.2,3.1,3.0,3.2,3.3,2.9
Lithuania *,15.3,13.0,10.7,12.2,12.3,10.9,9.2,8.5,9.4,9.3,9.6,10.5,9.0,11.0,8.2,8.9,6.6,8.1,6.3,6.2
Luxembourg,7.1,7.0,6.2,7.5,4.2,5.0,6.0,6.2,6.2,5.1,4.9,5.6,5.5,5.1,7.4,6.2,4.6,4.5,4.9,5.4
Madagascar,6.1,6.0,6.2,6.3,6.3,6.1,6.1,6.0,5.9,5.9,5.9,5.9,5.7,5.7,5.7,5.6,5.5,5.5,5.4,5.4
Malawi,8.4,7.7,6.9,6.4,5.9,5.6,6.1,6.6,6.7,7.0,7.0,6.0,5.2,4.6,4.3,4.2,4.0,3.8,3.5,3.3
Malaysia,3.1,2.9,2.9,2.9,2.8,2.8,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Maldives,2.3,2.1,1.9,1.7,1.4,1.3,1.2,1.1,1.1,1.1,1.0,1.0,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9
Mali,7.2,7.1,7.0,6.8,6.7,6.8,6.6,6.6,6.6,6.6,6.4,6.4,6.4,6.5,6.4,6.3,6.1,5.8,5.8,5.7
Malta,2.4,4.0,2.7,2.9,2.5,2.1,1.2,1.2,1.1,1.3,1.1,1.4,1.5,2.8,2.5,2.8,2.2,2.0,2.2,2.3
Mauritania,4.9,4.8,4.6,4.5,4.5,4.3,4.3,4.3,4.1,4.1,4.1,4.0,4.0,3.9,3.9,3.9,3.9,3.8,3.9,3.9
Mauritius,4.9,6.2,4.7,4.0,3.8,4.0,4.1,5.2,1.9,3.5,3.0,3.8,4.5,2.8,3.9,3.8,2.6,4.3,4.2,2.5
Mexico *,1.1,1.4,1.3,1.4,1.4,1.4,1.3,1.6,1.7,1.8,1.7,2.0,1.9,2.0,2.3,2.3,2.1,2.1,2.2,2.2
Micronesia,13.0,12.5,11.8,11.9,12.1,12.3,12.2,12.0,12.0,12.1,12.1,12.3,12.4,12.4,12.4,12.9,12.7,12.8,13.1,13.2
Mongolia,10.2,9.7,9.1,9.1,8.9,8.6,8.2,7.7,7.6,7.8,7.7,7.4,7.2,7.0,6.5,6.5,6.3,6.0,5.9,5.6
Montenegro,9.8,9.4,9.5,9.8,9.7,9.3,9.3,8.6,8.6,8.6,8.2,8.3,8.5,8.2,8.4,8.4,8.1,8.1,8.1,7.9
Morocco,8.0,7.8,7.7,7.5,7.4,7.2,7.1,7.0,6.8,6.7,6.5,6.3,6.1,5.8,5.6,5.3,5.1,5.0,4.8,4.7
Mozambique *,8.8,8.6,8.4,8.3,8.3,8.3,8.2,8.0,8.8,9.7,10.2,10.6,11.1,10.6,9.3,9.1,8.7,8.6,8.8,8.9
Myanmar,2.6,2.5,2.4,2.4,2.4,2.3,2.2,2.1,1.9,1.8,1.7,1.5,1.4,1.4,1.3,1.3,1.2,1.2,1.1,1.1
Namibia,11.4,10.9,10.7,9.9,8.2,9.3,9.7,8.9,7.0,7.0,6.4,5.1,4.5,4.8,6.1,7.0,6.1,5.3,4.3,4.4
Nepal *,2.8,2.6,2.8,2.8,2.7,2.9,2.8,2.9,3.0,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9
Netherlands,5.2,5.1,5.2,5.0,5.0,5.2,5.0,4.1,4.5,4.5,4.7,5.2,5.6,5.6,5.9,6.0,5.9,6.0,6.4,6.1
New Zealand,4.4,6.5,6.1,7.1,5.7,6.1,6.6,5.5,6.1,5.1,6.8,5.3,6.5,6.8,5.3,6.2,6.0,6.3,5.6,5.4
Nicaragua,3.6,3.3,2.8,3.1,2.7,2.1,2.1,2.4,2.7,2.9,2.4,2.9,2.5,2.4,2.2,2.2,1.7,2.1,2.2,1.9
Niger,6.7,6.8,6.7,6.8,6.6,6.7,6.6,6.7,6.6,6.6,6.6,6.6,6.7,6.7,6.7,6.6,6.5,6.4,6.4,6.4
Nigeria *,5.1,5.2,5.2,5.2,5.2,5.2,5.1,5.1,5.0,4.8,4.7,4.5,4.4,4.3,4.1,4.0,3.9,3.9,3.8,3.8
North Macedonia,4.9,4.1,4.9,4.4,5.5,4.1,4.1,4.2,4.2,3.8,3.2,2.8,4.9,3.0,3.6,3.6,3.6,3.5,3.5,3.5
Norway,6.1,6.6,6.0,5.9,7.6,7.4,6.4,6.0,6.5,6.5,6.6,6.7,5.7,6.8,5.5,7.1,7.3,6.6,6.4,6.3
Oman,2.0,1.9,1.9,1.8,1.8,1.7,1.8,1.6,1.5,1.5,1.6,1.5,1.4,1.3,1.3,1.3,1.2,1.2,1.1,1.1
Pakistan *,5.7,5.8,5.9,5.9,5.9,5.7,5.7,5.6,5.4,5.2,5.2,5.1,5.0,5.0,5.0,4.9,4.9,4.9,4.8,4.8
Panama,1.5,1.7,2.3,1.3,2.0,1.6,0.8,1.2,2.0,1.5,1.1,1.2,0.9,0.7,1.1,1.1,1.0,0.9,1.0,1.0
Papua New Guinea,1.4,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.7,1.7,1.8,1.7,1.8,1.9,2.0,2.0,2.0,1.9,1.9,1.9
Paraguay,2.5,2.5,3.1,2.0,2.9,3.3,2.8,2.4,2.4,2.5,2.2,2.7,3.1,2.7,3.8,3.2,2.9,3.4,3.2,3.3
Peru,2.4,2.1,2.1,2.1,1.9,1.8,1.8,1.6,1.6,1.9,2.0,1.9,1.8,1.7,1.6,1.5,1.4,1.4,1.4,1.4
Philippines,1.1,0.9,1.1,1.2,1.1,1.2,1.1,1.1,1.1,1.5,1.5,1.8,1.5,1.5,1.2,1.3,1.3,1.3,1.3,1.3
Poland,4.7,4.0,4.6,4.1,4.2,4.2,3.9,3.7,3.8,4.3,3.7,3.4,3.5,3.7,3.7,3.3,2.7,2.7,2.5,2.4
Portugal,2.1,2.8,3.8,3.8,3.4,3.5,3.4,4.3,3.8,3.7,4.2,3.4,3.2,3.6,4.4,4.8,3.2,3.9,3.8,3.5
Qatar,2.6,2.5,2.5,2.2,2.0,2.0,2.3,2.6,2.3,2.2,2.1,2.1,2.0,1.8,1.8,1.8,1.8,1.7,1.7,1.7
South Korea *,8.2,8.6,10.6,13.2,13.8,15.3,13.0,16.5,17.0,20.2,18.6,17.4,15.1,14.4,13.2,12.5,12.2,11.2,12.4,13.4
Moldova,4.2,5.4,5.2,4.5,5.1,4.9,4.9,4.3,5.3,4.8,5.0,3.7,5.2,4.5,3.9,4.7,3.9,3.3,3.0,3.3
Romania *,3.7,3.1,3.9,3.7,3.2,3.2,3.4,3.2,3.1,2.9,3.4,2.8,2.7,2.8,2.3,2.5,2.3,2.5,2.5,2.4
Russia *,13.4,13.1,13.1,12.9,12.5,12.5,11.4,10.9,10.7,10.4,10.3,9.8,9.4,9.1,9.1,9.0,8.7,8.0,7.8,7.2
Rwanda,14.0,12.8,11.8,10.5,9.2,8.8,8.6,8.2,7.7,7.1,6.7,6.3,6.0,5.7,5.6,5.5,5.3,5.2,5.1,5.0
Saint Lucia,2.1,1.9,1.8,1.7,1.6,1.6,1.7,1.6,1.7,1.5,1.6,1.5,1.7,1.6,1.7,1.6,1.5,1.5,1.5,1.5
Saint Vincent and the Grenadines,0.5,1.3,1.5,1.3,1.4,2.4,1.6,1.1,0.5,0.6,0.5,1.9,3.9,1.0,0.5,0.9,0.8,0.0,0.7,0.7
Samoa,7.8,7.9,7.7,7.6,7.4,7.5,7.5,7.6,7.7,7.1,7.8,7.9,7.9,7.7,8.0,8.0,8.0,7.8,7.9,7.8
São Tomé and Príncipe,1.4,1.5,1.5,1.1,1.2,1.3,1.3,1.5,1.4,1.3,1.3,1.2,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2
Saudi Arabia *,1.4,1.4,1.4,1.4,1.3,1.4,1.5,1.6,1.7,1.9,2.1,2.5,2.6,2.5,2.4,2.3,2.2,2.1,2.0,1.9
Senegal,6.8,6.6,6.5,6.5,6.4,6.4,6.2,5.9,5.9,5.8,5.9,5.9,6.0,6.0,5.9,5.7,5.5,5.4,5.3,5.2
Serbia,10.1,8.9,8.6,8.3,8.2,8.4,7.7,7.0,7.3,7.2,5.6,6.5,6.0,6.0,5.5,5.6,5.2,0.4,3.9,3.9
Seychelles,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.3
Sierra Leone,6.5,6.8,7.0,7.3,7.1,7.1,7.6,7.8,8.0,8.1,8.4,8.3,8.3,8.0,7.6,7.4,7.8,7.9,8.1,8.2
Singapore *,7.8,7.7,8.9,8.2,7.5,6.5,7.2,7.1,5.8,5.4,5.7,5.6,6.7,5.0,4.5,5.0,5.2,5.1,5.0,6.4
Slovakia,4.3,3.8,3.3,3.3,3.8,3.1,3.1,3.2,2.8,2.1,3.1,2.7,2.5,2.6,2.8,2.6,2.6,2.6,2.6,2.6
Slovenia,12.6,9.5,8.6,8.9,11.5,8.2,8.4,7.5,6.2,6.4,5.1,6.0,5.4,5.5,4.3,5.9,5.1,5.3,5.5,5.5
Solomon Islands,2.1,2.0,2.1,2.2,1.8,2.1,2.1,2.4,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4
Somalia,7.9,7.5,7.6,7.8,7.9,7.9,7.6,7.5,7.6,7.5,7.3,7.3,7.3,7.4,7.4,7.3,7.2,7.2,7.2,7.1
South Africa,11.6,11.9,13.0,13.6,13.3,12.7,12.0,12.6,13.9,13.9,13.1,11.7,10.8,10.3,10.3,10.4,10.5,10.3,9.8,9.8
South Sudan,3.9,3.7,3.6,3.7,3.7,3.6,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4
Spain *,3.0,2.8,3.0,3.0,3.1,2.8,2.5,2.7,2.6,2.5,2.2,2.4,2.6,3.1,3.2,2.9,2.8,3.0,2.9,2.8
Sri Lanka *,14.0,10.0,9.6,10.0,9.6,18.4,7.9,8.7,8.0,8.7,11.5,7.5,7.1,6.7,5.1,6.7,6.6,6.4,6.3,6.1
Sudan,4.0,3.8,3.8,3.7,3.6,3.8,3.7,3.6,3.5,3.5,3.5,3.6,3.4,3.4,3.4,3.3,3.3,3.3,3.3,3.3
Suriname,11.8,12.6,12.2,11.8,11.7,11.7,11.8,11.9,12.1,12.1,12.1,11.6,11.6,11.8,11.7,11.8,11.8,11.7,11.9,11.8
Sweden *,7.5,7.5,6.8,7.3,6.5,8.2,8.1,7.1,7.2,7.7,6.8,7.2,7.4,8.1,7.9,7.8,7.5,7.8,8.1,7.7
Switzerland *,8.6,8.5,9.7,8.5,8.6,8.5,9.1,8.7,8.8,6.6,6.2,5.8,6.0,6.1,6.0,6.0,5.5,5.9,5.7,5.7
Syria,0.9,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.7,0.8,0.8,0.8
Tajikistan,2.9,2.9,2.7,2.7,2.7,2.8,2.7,2.8,2.8,2.9,3.0,3.1,3.2,3.2,3.3,3.4,3.6,3.5,3.4,3.4
Thailand,7.1,6.0,5.7,5.2,4.5,3.9,3.8,3.6,3.4,3.3,3.2,3.0,2.9,2.7,2.6,2.5,2.5,2.4,2.4,2.3
East Timor,3.3,3.5,3.2,3.2,2.8,2.8,2.4,2.3,2.1,2.8,2.5,2.6,2.5,2.4,2.4,2.4,2.4,2.3,2.4,2.4
Togo,8.6,8.8,9.0,9.1,9.2,9.1,9.4,9.2,8.9,8.6,8.5,8.5,8.3,8.1,7.9,7.7,7.2,6.7,6.5,6.5
Tonga,3.6,3.6,3.4,3.4,3.3,3.2,3.2,3.2,3.2,3.2,3.5,3.4,3.4,3.4,3.5,3.4,3.2,3.2,3.1,2.9
Trinidad and Tobago,6.3,6.4,5.3,4.9,4.5,4.6,4.2,3.7,4.6,4.0,4.5,3.9,4.7,4.5,4.3,4.3,4.2,4.1,3.8,3.7
Tunisia,2.6,2.6,2.6,2.6,2.5,2.4,2.4,2.3,2.2,2.2,2.1,2.0,2.0,2.0,1.9,1.9,1.8,1.8,1.8,1.8
Turkey,1.9,1.8,1.7,1.6,1.6,1.5,1.5,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.3,1.3,1.3,1.2,1.2,1.2
Turkmenistan,4.6,5.0,5.5,5.1,5.6,5.7,5.9,5.3,4.8,4.3,4.0,4.0,3.7,3.9,3.5,3.4,3.2,3.0,2.9,2.9
Uganda,8.6,8.3,8.0,7.8,7.9,8.3,8.1,6.7,5.8,5.7,5.3,5.2,4.3,3.9,3.8,3.9,4.0,3.6,3.5,3.7
Ukraine *,8.5,7.8,7.6,7.3,7.0,7.0,6.5,6.5,6.5,5.7,5.5,5.1,5.1,5.2,5.3,4.9,4.7,4.5,4.6,4.7
United Arab Emirates,4.7,4.6,4.2,4.0,3.8,3.7,3.6,3.4,3.3,3.2,3.1,3.1,3.0,3.0,2.8,2.7,2.6,2.6,2.6,2.6
United Kingdom *,3.6,3.2,3.4,3.3,3.5,3.4,3.1,2.9,3.2,3.1,3.2,3.4,3.1,3.2,3.5,3.7,3.5,3.5,3.4,3.4
Tanzania,8.1,7.4,6.7,6.2,5.7,5.3,5.3,5.6,6.2,5.8,5.2,5.3,4.5,4.2,4.0,3.9,4.0,3.9,3.7,3.7
United States *,4.0,4.1,4.3,4.4,4.7,4.6,4.7,4.9,5.0,5.0,5.2,5.4,5.4,5.5,5.8,6.1,6.3,6.5,6.6,6.8
Uruguay *,5.1,5.9,7.4,6.6,5.8,6.0,6.9,7.2,5.6,5.3,6.4,6.5,6.3,6.2,7.0,6.7,8.3,7.5,7.4,7.7
Uzbekistan,4.8,4.9,4.9,4.7,4.5,4.6,4.5,4.4,4.3,4.2,4.3,4.6,5.1,5.1,5.2,5.4,5.5,5.3,5.2,4.9
Vanuatu,10.1,9.9,9.9,9.7,9.3,8.9,9.5,9.3,9.1,9.7,9.5,9.2,9.3,9.3,8.9,9.0,8.8,8.8,8.9,9.0
Venezuela,1.7,1.8,1.9,1.8,1.6,1.5,1.3,1.3,1.1,1.1,1.1,0.9,1.0,0.8,0.7,0.8,0.8,0.8,0.7,0.7
Vietnam,5.2,5.0,4.9,4.8,4.7,4.6,4.5,4.5,4.4,4.3,4.2,4.2,4.2,4.2,4.3,4.2,4.2,4.2,4.2,4.2
Yemen,6.5,6.5,6.2,6.1,6.2,6.0,5.9,5.8,5.9,5.8,5.5,5.4,5.5,5.4,5.2,5.0,5.1,5.1,5.3,5.3
Zambia,14.5,13.4,12.6,11.4,11.9,11.4,11.0,9.2,8.2,8.4,9.2,9.2,8.7,8.5,7.9,7.1,6.7,6.6,6.0,5.3
Zimbabwe,14.2,13.0,13.5,13.7,15.7,15.2,18.2,21.8,25.5,26.9,23.9,21.8,20.9,21.3,21.1,19.2,17.7,15.0,13.5,13.5
