Territory,Literacy rate (all),Male literacy,Female literacy,Gender difference,Year,Notes
Aruba,97.5%,97.5%,97.5%,0.0%,2015[1],A constituent country of the Kingdom of the Netherlands.
Cayman Islands,98.9%,98.7%,99.0%,-0.3%,2007[1],An overseas territory of the United Kingdom.
Guadeloupe,96.5%,96.4%,96.6%,-0.2%,2015[1],Overseas region/department of France.
Guam,99.8%,99.8%,99.8%,0.0%,2015[1],An unincorporated and organized territory of the United States.
Kosovo,91.9%,96.6%,87.5%,9.1%,2003[2],Member of two UN specialized agencies (World Bank Group and International Monetary Fund). It is claimed by Serbia.
Macau,96.2%,98.0%,94.6%,3.4%,2015[1],A special administrative region of China.
Martinique,97.0%,97.6%,96.4%,1.2%,2015[1],Overseas region/department of France.
New Caledonia,96.9%,97.3%,96.5%,0.8%,2015[1],Overseas region/department of France.
Puerto Rico,93.3%,92.8%,93.8%,-1.0%,2015[1],Unincorporated territory of the United States.
R̩union,93.9%,93.2%,94.5%,-1.3%,2015[1],Overseas region/department of France.
